,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
2342531,1755-12-01,3.831,7.891,Florence,Italy,44.20N,11.18E
2342532,1756-01-01,3.513,3.4930000000000003,Florence,Italy,44.20N,11.18E
2342533,1756-02-01,5.599,4.061,Florence,Italy,44.20N,11.18E
2342534,1756-03-01,7.277,7.07,Florence,Italy,44.20N,11.18E
2342535,1756-04-01,10.048,2.341,Florence,Italy,44.20N,11.18E
2342536,1756-05-01,15.86,4.78,Florence,Italy,44.20N,11.18E
2342537,1756-06-01,21.344,3.397,Florence,Italy,44.20N,11.18E
2342538,1756-07-01,21.844,2.337,Florence,Italy,44.20N,11.18E
2342539,1756-08-01,21.205,7.895,Florence,Italy,44.20N,11.18E
2342540,1756-09-01,19.032,2.5660000000000003,Florence,Italy,44.20N,11.18E
2342541,1756-10-01,11.178,2.047,Florence,Italy,44.20N,11.18E
2342542,1756-11-01,4.893,3.4130000000000003,Florence,Italy,44.20N,11.18E
2342543,1756-12-01,2.256,2.547,Florence,Italy,44.20N,11.18E
2342544,1757-01-01,-0.5670000000000002,2.649,Florence,Italy,44.20N,11.18E
2342545,1757-02-01,3.682,4.21,Florence,Italy,44.20N,11.18E
2342546,1757-03-01,6.535,4.017,Florence,Italy,44.20N,11.18E
2342547,1757-04-01,10.341,5.417000000000002,Florence,Italy,44.20N,11.18E
2342548,1757-05-01,16.397000000000002,4.292,Florence,Italy,44.20N,11.18E
2342549,1757-06-01,21.924,4.626,Florence,Italy,44.20N,11.18E
2342550,1757-07-01,24.875,6.496,Florence,Italy,44.20N,11.18E
2342551,1757-08-01,22.346,4.003,Florence,Italy,44.20N,11.18E
2342552,1757-09-01,17.224,6.9670000000000005,Florence,Italy,44.20N,11.18E
2342553,1757-10-01,9.62,9.315,Florence,Italy,44.20N,11.18E
2342554,1757-11-01,6.0520000000000005,3.034,Florence,Italy,44.20N,11.18E
2342555,1757-12-01,1.605,10.396,Florence,Italy,44.20N,11.18E
2342556,1758-01-01,-1.1900000000000004,2.233,Florence,Italy,44.20N,11.18E
2342557,1758-02-01,3.1450000000000005,3.035,Florence,Italy,44.20N,11.18E
2342558,1758-03-01,7.172999999999999,4.503,Florence,Italy,44.20N,11.18E
2342559,1758-04-01,9.463,8.497,Florence,Italy,44.20N,11.18E
2342560,1758-05-01,15.375,5.697,Florence,Italy,44.20N,11.18E
2342561,1758-06-01,20.566,4.8210000000000015,Florence,Italy,44.20N,11.18E
2342562,1758-07-01,20.188,7.006,Florence,Italy,44.20N,11.18E
2342563,1758-08-01,20.635,6.291,Florence,Italy,44.20N,11.18E
2342564,1758-09-01,15.679000000000002,3.122,Florence,Italy,44.20N,11.18E
2342565,1758-10-01,10.156,11.178,Florence,Italy,44.20N,11.18E
2342566,1758-11-01,7.917000000000002,6.695,Florence,Italy,44.20N,11.18E
